id,user_id,facebook_id,movie_name,category,created_time
347,19,139195819664,Prince of Persia: The Sands of Time,Movie,2011-11-28 15:27:12
348,19,109573692402522,August Rush,Movie,2011-07-24 19:10:04
349,19,225034700870481,The Dark Knight Rises,Movie,2012-07-21 16:55:40
350,19,91290503700,Inception,Movie,2012-08-13 18:27:23
351,19,352863808101325,Kabhi Khushi Kabhie Gham,Movie,2012-06-13 08:37:05
352,19,273896639332607,August Rush,Movie,2012-01-08 01:17:01
353,19,1472980222948290,Varanam Aayiram.,Movie,2014-07-19 03:40:42
354,20,105475782818131,Hamsageethe,Movie,2010-08-27 21:29:58
355,20,112269815451069,Valkyrie,Movie,2010-09-12 13:59:20
356,20,36151163682,Valkyrie,Movie,2012-01-24 04:43:06
357,20,247282041954910,Ocean's Eleven,Movie,2013-08-14 07:04:40
358,20,103131766394504,Seven,Movie,2010-10-04 20:49:00
359,20,105506929484028,Ocean's Eleven,Movie,2010-09-05 17:42:20
360,20,206190329408695,Seven,Movie,2011-06-01 20:07:14
361,20,441170255909978,3 Idiots Movie,Movie,2012-05-12 21:50:24
362,20,109436175750227,Catch Me If You Can,Movie,2010-09-02 14:47:02
363,20,91290503700,Inception,Movie,2010-08-15 13:22:34
364,20,108413992520053,Naayi Neralu,Movie,2010-09-25 17:18:57
365,20,174141142637496,Ocean's Eleven (2001),Movie,2011-05-18 08:17:12
366,20,494036635360,IF MR BEAN WAS EDWARD IN TWILIGHT HE WOULD LOOK LIKE THIS!!,Community,2010-09-17 21:44:51
367,20,189231947796149,Catch Me If You Can,Movie,2011-07-01 09:12:15
368,20,6806293649,21,Movie,2010-09-26 21:10:53
369,21,184695207750,The Karate Kid,Movie,2014-04-06 05:35:47
370,21,18128947058,Kung Fu Panda,Movie,2014-11-04 10:01:23
371,21,191584114216384,Alvin and the Chipmunks,Movie,2014-04-06 05:35:50
372,13,108121322549934,The Terminal,Movie,2010-12-10 21:53:27
373,13,113547575322620,"Lock, Stock and Two Smoking Barrels",Movie,2010-12-10 21:53:27
374,13,110051375738010,"Lock, Stock and Two Smoking Barrels",Movie,2011-03-23 08:54:06
375,13,112317682114594,A Beautiful Mind,Movie,2010-11-14 14:06:19
376,13,111766602173227,The Sixth Sense,Movie,2010-11-19 23:38:27
377,13,112918008719378,The Prestige,Movie,2010-11-19 23:38:27
378,13,91290503700,Inception,Movie,2011-07-14 19:56:07
379,13,191457994228848,V For Vendetta,Movie,2011-07-14 19:56:07
380,13,112315595447687,Masoom,Movie,2013-01-05 00:25:20
381,13,797290310335339,The Prestige,Movie,2014-07-31 21:29:36
382,13,114766948538699,Catch Me if U Can,Movie,2010-12-10 21:53:28
383,24,1482270528702340,Dil Chahta Hai,Community,2014-09-17 22:40:58
384,24,797377790313404,Jassy sekhon,Public figure,2014-09-16 21:31:05
385,24,103117456395835,Dil Chahta Hai,Movie,2013-08-08 02:24:43
386,24,108286895860238,Step Up 2: The Streets,Movie,2011-07-24 22:34:04
387,24,104880924318,The Blind Side,Movie,2011-07-24 22:34:07
388,24,109568722402875,Hachiko: A Dog's Story,Movie,2011-07-24 22:34:02
389,24,105636212804436,Source Code,Movie,2011-07-24 22:34:07
390,24,103130849727085,Mission: Impossible,Movie,2010-05-03 09:02:51
391,24,441170255909978,3 Idiots Movie,Movie,2012-05-22 10:14:56
392,24,106059130632,The Last Airbender,Movie,2011-07-24 22:34:04
393,24,108630589167658,Terminator 3,Movie,2010-05-03 09:02:51
394,24,209288649109233,Taken,Movie,2011-07-24 22:34:01
